   # ticker        messages        MB     cumMB
 155 MCHI           469,910     14.09   4202.94
 156 BBL            466,480     13.96   4216.91
 157 USO            464,948     13.82   4230.73
 158 ADI            458,690     13.73   4244.45
 159 NKE            453,686     13.67   4258.12
 160 SYF            449,769     13.65   4271.78
 161 M              444,317     13.43   4285.21
 162 EFA            449,681     13.43   4298.64
 163 OIH            448,311     13.36   4312.00
 164 XME            443,189     13.29   4325.29
 165 TAL            435,904     13.22   4338.51
 166 TSM            434,700     13.19   4351.70
 167 ABT            442,052     13.19   4364.89
 168 O              440,999     13.18   4378.06
 169 WISH           432,280     13.17   4391.24
 170 VO             443,150     13.15   4404.39
 171 VDE            439,875     13.11   4417.50
 172 EQNR           443,950     12.95   4430.45
 173 PG             430,251     12.93   4443.39
 174 SDOW           424,702     12.76   4456.15
 175 FNGU           428,495     12.68   4468.83
 176 MET            422,935     12.66   4481.49
 177 RUN            419,456     12.63   4494.12
 178 SID            429,353     12.62   4506.74
 179 SPTL           422,904     12.54   4519.28
 180 SCHW           409,848     12.38   4531.66
 181 ROST           412,837     12.33   4543.99
 182 KEY            410,795     12.31   4556.30
 183 GDXJ           411,727     12.31   4568.62
 184 IEMG           409,505     12.24   4580.85
 185 BNTX           405,145     12.21   4593.06
 186 BUD            410,890     12.21   4605.28
 187 LABD           415,813     12.12   4617.40
 188 CL             401,924     12.03   4629.42
 189 TMF            399,779     11.95   4641.38
 190 EEM            397,679     11.87   4653.25
 191 AU             400,025     11.84   4665.09
 192 ATOS           382,437     11.78   4676.87
 193 XLRE           394,867     11.74   4688.60
 194 MDLZ           385,201     11.61   4700.21
 195 EBAY           381,511     11.59   4711.80
 196 PRU            383,381     11.46   4723.26
 197 VGT            381,609     11.39   4734.65
 198 SQ             375,333     11.34   4745.99
 199 GOOGL          365,215     11.29   4757.28
 200 ON             374,736     11.24   4768.52
 201 LYFT           373,623     11.23   4779.75
 202 ZM             372,282     11.20   4790.96
 203 ATVI           368,641     11.15   4802.11
 204 KSS            372,828     11.14   4813.25
 205 PLTR           364,822     11.08   4824.33
 206 DEO            368,120     11.07   4835.40
 207 PBR.A          374,738     11.04   4846.44
 208 IBM            367,546     11.01   4857.45
 209 SPMD           375,112     10.95   4868.41
 210 XRT            367,068     10.93   4879.34
 211 MRO            364,460     10.93   4890.27
 212 TD             369,606     10.90   4901.18
 213 UL             370,202     10.89   4912.07
 214 TME            356,843     10.88   4922.95
 215 IWR            365,045     10.87   4933.82
 216 CGC            361,732     10.81   4944.63
 217 DISCK          359,302     10.77   4955.40
 218 MRK            355,949     10.72   4966.12
 219 APA            355,673     10.70   4976.82
 220 DUK            357,320     10.68   4987.50
 221 TFC            355,497     10.67   4998.17
 222 JNJ            352,410     10.59   5008.76
 223 TTE            362,448     10.58   5019.34
 224 NTCO           359,552     10.51   5029.85
 225 ALLY           350,908     10.50   5040.35
 226 WORX           332,912     10.46   5050.81
 227 CRM            342,987     10.46   5061.27
 228 TS             350,735     10.44   5071.71
 229 XEL            347,301     10.41   5082.12
 230 TMV            349,862     10.41   5092.53
 231 IVE            348,734     10.36   5102.89
 232 DISCA          341,339     10.35   5113.23
 233 COF            342,025     10.27   5123.50
 234 VGLT           343,733     10.24   5133.73
 235 KO             334,363     10.16   5143.90
 236 F              336,606     10.12   5154.02
 237 SPXS           333,542     10.11   5164.13
 238 HSBC           339,757     10.08   5174.21
 239 MDT            335,577     10.06   5184.27
 240 NKLA           328,476      9.95   5194.22
 241 PLD            332,502      9.92   5204.14
 242 NEM            328,670      9.90   5214.04
 243 VTR            329,483      9.89   5223.93
 244 ADBE           322,167      9.86   5233.80
 245 NEE            327,381      9.83   5243.62
 246 WDC            326,526      9.82   5253.44
 247 XITK           330,115      9.82   5263.26
 248 AA             325,067      9.80   5273.06
 249 IGM            324,326      9.78   5282.85
 250 FHN            324,999      9.78   5292.63
 251 SPYG           329,955      9.77   5302.40
 252 DKNG           322,627      9.77   5312.17
